exp_log2_cond1	exp_log2_cond2	exp_log2_cond3	exp_log2_cond4	exp_log2_cond5	exp_log2_cond6	cv2_log2_cond1	cv2_log2_cond2	cv2_log2_cond3	cv2_log2_cond4	cv2_log2_cond5	cv2_log2_cond6	LibID
-0.509605	-0.527405	-0.685821	-0.587795	-0.680369	-0.553496							134.000000
-2.350963	-2.202366	-2.087855	-2.621238	-2.714404	-2.552235	-1.776869	-2.902535	-2.132251	-2.617289	-2.057704	-2.043609	135.000000
-1.315163	-1.390233	-1.290512	-1.682248	-1.610960	-1.470627	-2.767661	-3.009428	-3.418679	-2.505139	-2.598055	-2.804032	136.000000
-1.145238	-1.119120	-1.363607	-1.641200	-1.594819	-1.540433	-2.548082	-2.836237	-3.558845	-2.887583	-2.742173	-3.427184	137.000000
-2.731773	-2.408220	-2.491355	-2.694988	-2.708025	-2.477554	-2.274026	-2.715429	-3.110242	-3.472008	-3.095864	-2.188990	138.000000
-2.944409	-2.838112	-2.686472	-2.889462	-2.906883	-2.657870	-2.469610	-2.610864	-3.002069	-3.585714	-2.959910	-2.568389	139.000000
-2.966454	-2.873051	-2.686993	-2.784504	-2.922913	-2.688579	-2.348592	-3.145217	-2.940658	-2.699206	-2.413790	-2.106389	140.000000
-4.064756	-4.038212	-3.712231	-3.715722	-3.848308	-3.642221	-1.527811	-1.860871	-2.149824	-2.161396	-2.493476	-2.035418	141.000000
-2.906623	-2.616111	-2.428135	-2.981469	-2.621004	-2.492474	-2.913602	-3.995387	-4.188374	-4.483905	-3.427184	-3.063146	142.000000
-1.622238	-1.514541	-1.705880	-1.700563	-1.910874	-2.054756	-2.840867	-3.392380	-2.556467	-1.970147	-2.871927	-1.824260	143.000000
-3.230476	-3.019451	-2.924405	-3.139062	-3.257829	-3.060124	-1.561818	-3.279609	-1.613340	-1.638686	-1.032446	-1.322638	144.000000
-3.418576	-3.165117	-3.111094	-3.016499	-3.275730	-3.092757	-2.790339	-2.804032	-3.146934	-2.318792	-0.719128	-1.756113	145.000000
-2.562256	-2.625064	-2.265585	-2.617015	-2.557063	-2.498777	-3.503902	-3.216465	-2.504452	-3.882397	-3.480672	-2.960715	146.000000
-3.077362	-2.667274	-2.619287	-3.136793	-2.818015	-2.745096	-1.921442	-1.486462	-2.855579	-2.817790	-1.906878	-1.755582	147.000000
-3.134452	-2.843051	-2.666294	-2.822898	-2.733126	-2.722790	-2.567686	-3.366318	-3.197176	-2.980912	-2.841640	-2.840095	148.000000
-2.946233	-2.802394	-2.686472	-2.741923	-2.782238	-2.694132	-1.880182	-2.821624	-3.054817	-2.318147	-2.427142	-2.206914	149.000000
-2.614965	-2.502767	-2.332903	-2.555614	-2.429926	-2.461838	-1.897952	-3.128956	-2.955889	-3.291321	-2.389910	-3.117033	150.000000
-2.647738	-2.819060	-2.663728	-2.857975	-2.859835	-2.674240	-2.355111	-2.836237	-3.234997	-3.385843	-3.211191	-3.099240	151.000000
-2.616417	-2.346514	-2.051501	-2.265970	-2.353256	-2.301099	-3.205928	-3.507792	-3.122988	-2.529302	-2.477770	-2.109983	152.000000
-2.510504	-2.325238	-2.196067	-2.494782	-2.487369	-2.423514	-4.201958	-3.993083	-3.643272	-3.514612	-4.452682	-3.181490	153.000000
-3.198236	-2.826651	-2.495000	-2.593488	-2.818015	-2.563880	-2.939859	-3.609809	-3.454759	-3.574737	-3.254541	-2.935865	154.000000
-2.932306	-2.815820	-2.631774	-2.867976	-2.848308	-2.654619	-2.540416	-2.886798	-3.660663	-3.294935	-2.941458	-1.984461	155.000000
-3.037275	-2.675083	-2.476864	-2.716852	-2.622640	-2.620382	-3.027498	-3.668883	-3.501959	-3.753462	-3.445221	-3.605779	156.000000
-3.035980	-2.859641	-2.635289	-2.872374	-2.736073	-2.729047	-2.610864	-2.424466	-3.132372		-1.717658	-1.949659	157.000000
-2.949279	-2.767018	-2.552241	-2.792220	-2.676542	-2.610897	-3.062312	-2.988218	-3.751344	-3.911352	-3.044853	-2.552970	158.000000
-1.779218	-1.758956	-1.603460	-1.722511	-1.871778	-1.889880	-2.730256	-3.479708	-3.834050	-3.852634	-3.610817	-2.507202	159.000000
-3.134452	-2.833735	-2.725552	-2.807177	-2.946615	-2.577671	-3.703043	-3.235883	-3.739720	-2.908063	-3.209436	-2.965549	160.000000
	-0.131405				0.428411							161.000000
1.279849	1.487565	1.510294	0.478580	1.801175	2.257675							162.000000
0.325358		0.373421			1.600386							163.000000
-0.182203	0.067646		0.743863	0.982992	0.935927							164.000000
0.255916	0.574956	0.584281	0.985802	1.331081	1.615840							165.000000
		0.968863		1.476455	1.969462							166.000000
-0.029841				1.111473	1.370736	-4.239334				-5.456671	-4.936663	167.000000
0.684935		1.129306		1.604993	1.816405	-5.275116						168.000000
	0.128562	0.585360		1.030503	1.167777					-5.227040		169.000000
	0.271135	0.451197	0.919801	0.858349	1.009813							170.000000
-0.094034		0.257486			1.121347							171.000000
0.144555	0.475023	0.580822	1.235375	1.219398	1.283934	-5.710341		-4.389910	-4.837780			172.000000
	0.597514	0.870077	0.963460	1.910448	1.655214							173.000000
0.783213	0.758538	1.052992	1.455394	1.385010	1.457095							174.000000
0.081041		0.421531			1.262736	-5.466247						175.000000
	0.226710	0.256402		1.215284	1.355059							176.000000
	0.211768	0.798405		1.294325								177.000000
-0.078612	0.227561	0.353035		1.001202	1.172972							178.000000
		0.493491	0.891411	1.144538	1.345990				-7.216465	-6.881310		179.000000
	0.452690	0.530327	1.338728	1.315972	1.642025							180.000000
-0.112351	-0.206515	-0.241751	-0.141619	-0.367467	-0.257489	-4.440556	-4.448635	-4.557167	-6.112982	-4.776711	-3.837321	181.000000
-0.529751	-0.529062	-0.677383	-0.579168	-0.736368	-0.586809	-5.371883	-5.499047	-5.095864	-4.986593	-4.976862	-4.636652	182.000000
-0.443590	-0.232207	-0.596958	-0.478290	-0.828671	-0.685949	-4.776711	-3.473931	-4.523761	-3.662716	-3.996540	-3.934952	183.000000
-0.522815	-0.536378	-0.644622	-0.371392	-0.816766	-0.754203	-4.162617	-4.127421	-4.482541	-3.072337	-4.201958	-4.005777	184.000000
0.438793	0.400413	0.248521	0.247549	-0.051653	0.092327	-4.719869	-4.341437	-5.158981	-5.557854	-5.262575	-4.996357	185.000000
0.277766	0.290874	0.163202	0.190942	-0.084707	-0.185231	-4.368849	-3.679192	-4.338840	-4.445939	-4.038341	-4.449983	186.000000
-0.338631	-0.210854	-0.323758	-0.512813	-0.658956	-0.554506	-4.034834	-4.357069	-4.683074	-4.595217	-4.258205	-3.749227	187.000000
-0.316637	-0.260565	-0.351681	-0.210038	-0.506995	-0.515885	-4.760141	-4.986593	-4.561370	-3.951928	-3.847155	-4.630901	188.000000
-0.352374	-0.339516	-0.457508	-0.518709	-0.694919	-0.540433	-4.338840	-4.357069	-4.061828	-4.099810	-4.215607	-4.802507	189.000000
-0.356310	-0.347976	-0.471131	-0.152656	-0.631393	-0.457818	-3.990781	-4.158956	-4.261994	-5.052322	-3.879075	-2.766908	190.000000
-0.278026	-0.337869	-0.403303	-0.299627	-0.636891	-0.586680	-4.740681	-4.539024	-4.448635	-4.040681	-5.025851	-3.919197	191.000000
-0.403148	-0.265438	-0.594756	-0.650476	-0.930321	-0.668490	-5.143501	-3.738665	-4.379361	-2.989031	-4.163838	-3.933824	192.000000
-0.166257	-0.087350	-0.298653	-0.270419	-0.619507	-0.507184	-4.962326	-4.057115	-4.144359	-4.004620	-4.358376	-3.547970	193.000000
0.300765	0.332118	0.078587	0.403462	0.058497	-0.211271	-4.359683		-3.906878	-5.269735	-3.457627	-4.298881	194.000000
-0.274584	-0.450106	-0.546792	-0.387037	-0.701673	-0.681667	-4.315571	-4.151648	-4.407137		-4.568389	-4.132251	195.000000
-0.185610	-0.228970	-0.278289	-0.066638	-0.513554	-0.387642	-4.407137	-4.117787	-4.432500	-5.246530	-4.773691	-4.544595	196.000000
-0.478363	-0.359629	-0.481038	-0.487175	-0.683922	-0.719530	-4.884445	-3.328576	-4.045367	-4.364917	-3.064815	-3.111090	197.000000
-0.254384	-0.264794	-0.466091	-0.277275	-0.735188	-0.556022	-4.949466	-4.862574	-4.742173	-3.889053	-4.498958	-4.017364	198.000000
-0.310260	-0.356486	-0.403410	-0.195502	-0.696497	-0.509874	-3.654513	-3.677127	-4.048886	-5.569761	-3.881289	-4.539024	199.000000
-0.318605	-0.390735	-0.400843		-0.704412	-0.550975	-4.742173	-5.349688	-3.428130		-4.077198	-3.532224	200.000000
-0.234000		-0.247601	-0.181208	-0.167727	-0.107965	-5.587714						201.000000
-0.202408	-0.140330	-0.304138	-0.189023	-0.302786	-0.164463		-5.540086		-5.143501	-6.046540	-6.125010	202.000000
-0.150661	-0.131657	-0.129391	-0.089768	-0.078428	-0.047630	-5.712430	-6.850150	-5.954199	-6.030165	-5.862521	-6.235575	203.000000
0.272874	0.134647	0.159584		0.055091	0.237070							204.000000
-0.197873	-0.011165	-0.188669	-0.069881	-0.161474	-0.019733	-7.015986	-6.980102	-5.057313	-5.716611	-5.855926	-5.677127	205.000000
-0.236974	-0.229329	-0.338214		-0.056987								206.000000
-0.091929	-0.091099	-0.134358	0.004296	-0.021136	-0.018601							207.000000
0.248692	0.395703	0.240870	0.183623	0.302929	0.227703					-5.447126		208.000000
-0.123402	-0.129392	-0.202107	-0.028542	-0.127506	0.067191							209.000000
0.690865	0.713829	0.713738	0.577819	0.721856	0.489575	-6.058293						210.000000
	2.164677	2.576988	3.050120	3.397545	3.333277					-5.609809	-5.334985	211.000000
	1.969341		0.464202	3.201487			-3.759827			-5.479708		212.000000
2.093562	1.846883	2.499371	2.966673	3.308929	3.345221	-2.676501	-4.908063	-5.394251	-5.275116	-5.140072	-5.526341	213.000000
			3.038548	3.258301					-6.004620			214.000000
	1.970534						-1.465767					215.000000
2.169197	1.996249	2.572410		3.286858	3.359606	-3.449986	-3.674033	-4.199484		-5.050661	-5.200673	216.000000
1.949234	1.894278			3.299614						-5.803700		217.000000
												218.000000
1.711767	1.850414	2.338562	2.713414	3.323290	3.330417	-4.302724	-5.063980	-5.080717	-5.967863	-4.740681	-6.575425	219.000000
	2.077102		3.012816	3.678072			-5.512662		-7.677127	-5.291321		220.000000
-3.113119	-2.684903	-2.716480	-2.943959	-3.009411	-2.754348	-2.611577	-2.614431	-2.772182	-3.159844	-2.460118	-2.214985	221.000000
-3.873267	-3.790152	-3.672473	-3.889462	-3.689053	-3.560833	-1.483565	-1.724993	-1.467686	-2.512712	-1.673518	-1.647865	222.000000
-3.991350	-4.396472	-3.762970	-3.839407	-3.935054	-4.176557	-0.476408		-2.023176				223.000000
